Sitename,Address,Borough,Zip,Latitude,Longitude,Category
Brooklyn Hospital Center - Downtown Campus,"121 Dekalb Ave, Brooklyn, NY 11201",Brooklyn,11201,40.690692,-73.977967,Pharmaceuticals & Syringes
CVS Pharmacy,"100-02 Queens Blvd,  Queens,  NY 11375",Queens,11375,40.726896,-73.85357,Pharmaceuticals & Syringes
Woodcrest Rehabilitation & Residential Health Center,"11909 26th Ave, Flushing, NY 11354",Queens,11354,40.774895,-73.84861,Pharmaceuticals & Syringes
Jacobi Medical Center,"1400 Pelham Pkwy S, Bronx, NY 10461",Bronx,10461,40.85623,-73.847437,Pharmaceuticals & Syringes
Rite Med Pharmacy,"311 Saint Nicholas Ave,  Queens,  NY 11385",Queens,11385,40.701384,-73.9107,Pharmaceuticals & Syringes
Lenox Terrace Pharmacy Inc,"20 West 135th Street,  Manhattan,  NY 10037",Manhattan,10037,40.812987,-73.9389,Pharmaceuticals & Syringes
Rutland Nursing Home Co,"585 Schenectady Ave, Brooklyn, NY 11203",Brooklyn,11203,40.659536,-73.933794,Pharmaceuticals & Syringes
Staten Island University Hospital-North,"475 Seaview Ave, Staten Island, NY, 10305",Staten Island,10305,40.58488,-74.08611,Pharmaceuticals & Syringes
Jamaica Hospital Medical Center,"8900 Van Wyck Expy, Richmond Hill, NY 11418",Queens,11418,40.700256,-73.816216,Pharmaceuticals & Syringes
CVS Pharmacy,"1916 Williamsbridge Rd,  Bronx,  NY 10461",Bronx,10461,40.852765,-73.8529,Pharmaceuticals & Syringes
Park Nursing Home,"128 Beach 115 St, Rockaway Park, NY 11694",Queens,11694,40.578462,-73.835218,Pharmaceuticals & Syringes
NYPD 60th Precinct,"2591 W 8th Street,  Brooklyn,  NY 11224",Brooklyn,11224,40.576215,-73.9765,Pharmaceuticals & Syringes
CVS Pharmacy,"89-11 Northern Blvd,  Queens,  NY 11372",Queens,11372,40.756686,-73.8785,Pharmaceuticals & Syringes
CVS Pharmacy,"4901 Kings Highway,  Brooklyn,  NY 11234",Brooklyn,11234,40.633859,-73.9292,Pharmaceuticals & Syringes
Linden Center for Nursing and Rehabilitation,"2237 Linden Blvd, Brooklyn, NY 11207",Brooklyn,11207,40.66353,-73.880877,Pharmaceuticals & Syringes
Walgreens,"114 Beverley Rd.,  Brooklyn,  NY 11218",Brooklyn,11218,40.642492,-73.9788,Pharmaceuticals & Syringes
Frank's Pharmacy,"77-01 37th Ave,  Queens,  NY 11372",Queens,11372,40.749543,-73.8885,Pharmaceuticals & Syringes
DTH Pharmacy/ Downtown Pharmacy,"165 William St, New York, NY 10038",Manhattan,10038,40.710236,-74.00588,Pharmaceuticals & Syringes
Prohealth Pharmacy,"385 2nd Ave,  Manhattan,  NY 10010",Manhattan,10010,40.73836477,-73.98135817,Pharmaceuticals & Syringes
SVA Pharmacy Corp DBA Triangle Pharmacy,"119-01 Jamaica Ave,  Queens,  NY 11418",Queens,11418,40.700221,-73.8308,Pharmaceuticals & Syringes
CFH Nelson Medical Clinic,"1605-11 Nelson Avenue, Bronx, NY 10453",Bronx,10453,40.846311,-73.919646,Pharmaceuticals & Syringes
Brooklyn Center for Rehabilitation and Residential Care,"1455 Coney Isalnd Ave, Brooklyn, NY 11230",Brooklyn,11230,40.621669,-73.964191,Pharmaceuticals & Syringes
Methodist Home for Nursing and Rehabilitation,"4499 Manhattan College Pkwy Bronx, NY 10463",Bronx,10463,40.890172,-73.903132,Pharmaceuticals & Syringes
Turning Point 3rd Ave,"968 3 Ave, Brooklyn, NY 11232",Brooklyn,11232,40.655276,-74.007291,Pharmaceuticals & Syringes
I&S Pharmacy,"1994 Third Ave,  Manhattan,  NY 10029",Manhattan,10029,40.793968,-73.9433,Pharmaceuticals & Syringes
Best Rx Pharmacy,"325 New Dorp Lane,  Staten Island,  NY 10306",Staten Island,10306,40.57218027,-74.11159827,Pharmaceuticals & Syringes
Park Terrace Care Center,"59-20 Van Doren St Corona, NY 11368",Queens,11368,40.738893,-73.849736,Pharmaceuticals & Syringes
Bishop Charles Waldo Maclean Episcopal Nursing Home,"1711 Brookhaven Ave, New York, NY 11691",Queens,11691,40.598537,-73.751419,Pharmaceuticals & Syringes
Coney Island Hospital - Staten Island,"2040 Forest Ave, Staten Island, NY, 10303",Staten Island,10303,40.625435,-74.15627,Pharmaceuticals & Syringes
Cobble Hill Health Center,"380 Henry St, Brooklyn, NY 11201",Brooklyn,11201,40.688453,-73.997654,Pharmaceuticals & Syringes
Acacia Network: Casa Promesa,"308 E 175 ST, Bronx, NY 10457",Bronx,10457,40.84634,-73.904076,Pharmaceuticals & Syringes
Eastchester Rehabilitation and Healthcare Center,"2700 Eastchester Rd, Bronx, NY 10469",Bronx,10469,40.865639,-73.843015,Pharmaceuticals & Syringes
Sam Pharmacy,"210 Parkside Ave,  Brooklyn,  NY 11226",Brooklyn,11226,40.655042,-73.9607,Pharmaceuticals & Syringes
Terence Cardinal Cooke Health Care Center,"1249 5th Ave, New York, NY 10029",Manhattan,10029,40.793766,-73.951001,Pharmaceuticals & Syringes
St. Jude Specialty Pharmacy,"121 St. Nicholas Ave,  Brooklyn,  NY 11237",Brooklyn,11237,40.705531,-73.9178,Pharmaceuticals & Syringes
Kingbrook Jewish Medical Center,"585 Schenectady Ave Brooklyn, NY 11203",Brooklyn,11203,40.663313,-73.987576,Pharmaceuticals & Syringes
Flushing Hospital Medical Center,"4500 Parsons Blvd, Flushing, NY 11355",Queens,11355,40.755419,-73.816804,Pharmaceuticals & Syringes
Kingsbridge Pharmacy Corp.,"145 W Kingsbridge Road,  Bronx,  NY 10468",Bronx,10468,40.86946,-73.9031,Pharmaceuticals & Syringes
Duane Reade,"51 W. 51st Street,  Manhattan,  NY 10019",Manhattan,10019,40.760473,-73.9789,Pharmaceuticals & Syringes
Scarpa Pharmacy,"6216 11th Ave,  Brooklyn,  NY 11219",Brooklyn,11219,40.630128,-74.0048,Pharmaceuticals & Syringes
Hope Center for HIV & Nursing Care,"1401 University Ave, Bronx, NY 10452",Bronx,10452,40.842881,-73.925655,Pharmaceuticals & Syringes
Pelham Parkway Nursing Home,"2401 Laconia Ave, Bronx, NY 10469",Bronx,10469,40.861443,-73.856397,Pharmaceuticals & Syringes
Eger Health Care Center of Staten Island,"140 Meisner Ave, Staten Island, NY, 10306",Staten Island,10306,40.579861,-74.130173,Pharmaceuticals & Syringes
Shoreview Nursing Home,"2865 Brighton 3rd St, Brooklyn, NY 11235",Brooklyn,11235,40.581376,-73.965596,Pharmaceuticals & Syringes
Miller's Pharmacy,"173 Broad St, Staten Island, NY 10304",Staten Island,10304,40.624515,-74.080673,Pharmaceuticals & Syringes
Simfarose Pharmacy,"1535 Stillwell Ave,  Bronx,  NY 10461",Bronx,10461,40.8540051,-73.84274341,Pharmaceuticals & Syringes
Coler-Goldwater Specialty Hospital and Nursing Facility,"900 Main St, New York, NY 10044",Manhattan,10044,40.770299,-73.942274,Pharmaceuticals & Syringes
Rockaway Care Center,"353 Beach 48 St Far Rockaway, NY 11691",Queens,11691,40.59486,-73.779214,Pharmaceuticals & Syringes
